bundle_code,bundle_name_legacy,position,service_code
3343,STRZYZENIE DZIEWCZYNKA DO 18 L,1,0001
3343,STRZYZENIE DZIEWCZYNKA DO 18 L,2,0035
3343,STRZYZENIE DZIEWCZYNKA DO 18 L,3,0022
3343,STRZYZENIE DZIEWCZYNKA DO 18 L,4,0041
3366,CZES WL DL/BDL PRZED/LOK/PROST,1,0006
3366,CZES WL DL/BDL PRZED/LOK/PROST,2,0040
3366,CZES WL DL/BDL PRZED/LOK/PROST,3,0019
3366,CZES WL DL/BDL PRZED/LOK/PROST,4,0046
3366,CZES WL DL/BDL PRZED/LOK/PROST,5,0044
3366,CZES WL DL/BDL PRZED/LOK/PROST,6,0086
3365,CZES WL KR/SR PRZDED/LOK/PROST,1,0006
3365,CZES WL KR/SR PRZDED/LOK/PROST,2,0040
3365,CZES WL KR/SR PRZDED/LOK/PROST,3,0046
3365,CZES WL KR/SR PRZDED/LOK/PROST,4,0019
3365,CZES WL KR/SR PRZDED/LOK/PROST,5,0044
3672,TONOWANIE DIANA Z CZES. KR/SR/,1,0003
3672,TONOWANIE DIANA Z CZES. KR/SR/,2,0022
3672,TONOWANIE DIANA Z CZES. KR/SR/,3,0079
3672,TONOWANIE DIANA Z CZES. KR/SR/,4,0043
