bundle_code,bundle_name,count,revenue
3331,CZESANIE WL KR,55,4704.0
3332,CZESANIE  WL SR,542,48689.37
3333,CZESANIE WL DL,543,47427.6
3334,STRZYZENIE WL KR,81,10491.0
3335,STRZYZENIE  WL SR,465,59899.21
3336,STRZYZENIE  WL DL,220,28526.47
3337,STRZYZENIE  PAN,807,77804.98
3338,STRZYZENIE STUDENTKA,47,4653.0
3339,STRZYZENIE STUDENT,53,4717.0
3340,STRZYZENIE CHLOPIEC DO 6LAT,76,6004.0
3341,STRZYZE CHLOPIEC NAST. DO 18L,137,10813.37
3342,STRZYZENIE DZIEWCZYNKA DO  6L,3,237.0
3343,STRZYZENIE DZIEWCZYNKA DO 18 L,79,7820.03
3344,KOLOR WL KR+ CZESANIE,94,25741.6
3345,KOLOR WL SR+CZESANIE,454,132562.77
3346,KOLOR WL DL+CZESANIE,417,145051.04
3348,BALEYAGE WL SR ODB+CZES,4,1220.0
3349,BALEYAGE WL DL ODB+CZES,3,1102.2
3350,BALEYAGE WL KR KOL+CZES,3,797.0
3351,BALEYAGE WL SR KOL+CZES,4,1190.0
3352,BALEYAGE WL DL KOL+CZES,3,1080.0
3353,PASEMKA WL KR+CZES,5,1525.0
3354,PASEMKA WL SR+CZES,17,5525.12
3355,PASEMKA WL DL+CZES,41,15925.61
3356,BAL 2 KOL WL KR,1,375.0
3357,BAL 2 KOL WL SR,12,4862.12
3358,BAL 2 KOL WL DL,6,2760.0
3359,KOLOR Z BALEYAGE WL. KR,15,5625.0
3360,KOLOR Z BALEYAGE WL. SR,35,14525.0
3361,KOLOR Z BALEYAGE WL. DL,33,15180.0
3362,CZES. WL.PRZEDLUZANYCH SR,32,4140.0
3364,CZESANIE ASYSTENT,71,4830.0
3365,CZES WL KR/SR PRZDED/LOK/PROST,2,350.0
3366,CZES WL DL/BDL PRZED/LOK/PROST,1,215.0
3380,CZES WL PRZEDL DL,9,1058.0
3383,TRWALA ORGAN KR,3,1350.0
3384,TRWALA ORGAN SR,5,2950.0
3385,TRWALA ORGAN DL,5,3050.0
3401,KOL OMBRE/SOMBRE WL SR,1,440.0
3402,KOL OMBRE/SOMBRE WL DL,5,2450.0
3435,PAKIET DIAMENT,9,1347.0
3440,STRZYZENIE PAN SMS,2,158.0
3441,STRZYZENIE MESKIE MASZYNKA,17,1341.86
3457,PASEMKA +1 KOLOR WL.KR,14,5390.0
3458,PASEMKA + 1 KOLOR WL.SR,81,34422.42
3459,PASEMKA + 1 KOLOR WL.DL,85,39914.36
3480,3D PAS+2 KOLORY WL.KR,1,430.0
3481,3D PAS+2 KOLORY SR,6,2880.0
3482,3D PAS+ 2 KOLORY WL.DL,19,10463.64
3555,PROM.W GODZ 7-13 PANI,678,66987.5
3562,PROST.KERA KR,1,500.0
3564,PROST.KERA DL,3,2100.0
3574,MASKA+ AMP +BOS,85,14886.75
3608,DOPLATA LOREAL,66,2604.84
3636,PROMOCJA MAN+PEDI+HYBRYDA+ZDJ,4,1160.0
3637,PIELEGNACJA MOLECULAR,15,2115.0
3643,MASKA KERASTASE,215,2468.59
3644,MASKA LOREAL,18,1004.0
3646,OLAPLEX DO PAKIETU,4,279.5
3647,CZESANIE WLOSY DO PASA,13,1781.0
3648,CZES Z AMP + MASK,11,2640.0
3649,CZES Z MAS. RR/BC,2,212.0
3650,CES Z MASK KERASTASE/LOREAL,2,280.0
3651,STRZ NOWA WLOSKA KOLEKCJA,116,17152.81
3652,STRZ DO PAKIETU,207,22570.71
3654,ODBARWIANIE ODR,1,118.0
3655,CZESANIE DO PIELEGNACJI,1,59.0
3657,MODEL + WALKI DL/BDL,1,167.0
3658,MODEL + LOK/PRO KR/SR,2,294.0
3659,MODEL + LOK/PRO DL/B.DL,3,561.0
3662,FALE/LOKI FR WIECZ DL,7,1330.0
